#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
4427.89870925	1.045957493929098e-17	1.045957493929098e-17	4.059356737166001e-18
4428.09869286	6.783697980194279e-18	6.783697980194279e-18	4.006011230460002e-18
4428.29867646	4.863876767043631e-18	4.863876767043631e-18	3.995381019158999e-18
4428.49866006	5.199936577210853e-18	5.199936577210853e-18	4.035312565697999e-18
4428.69864366	5.696300208667409e-18	5.696300208667409e-18	4.048609117409999e-18
4428.89862727	8.202159363668268e-18	8.202159363668268e-18	4.082332398083e-18
4429.09861087	5.029688577830522e-18	5.029688577830522e-18	4.046133544194e-18
4429.29859447	3.0167497820234674e-18	3.0167497820234674e-18	4.048536432864001e-18
4429.49857808	6.101490555510916e-18	6.101490555510916e-18	4.080178887660001e-18
4429.69856168	1.264566886465616e-18	1.264566886465616e-18	4.012500666924e-18
4429.89854528	5.979419220142971e-18	5.979419220142971e-18	4.121461533215999e-18
4430.09852888	1.2346665167651958e-17	1.2346665167651958e-17	4.233374685810002e-18
4430.29851249	8.919792143368604e-18	8.919792143368604e-18	4.146639814559999e-18
4430.49849609	1.0341243966896317e-17	1.0341243966896317e-17	4.14746774649e-18
4430.69847969	8.913820864896859e-18	8.913820864896859e-18	4.076593930536e-18
4430.89946321	3.2108671862308862e-18	3.2108671862308862e-18	3.889364566094002e-18
4431.09944682	6.417849608111526e-18	6.417849608111526e-18	3.988371621993e-18
4431.29943042	9.074270630856615e-18	9.074270630856615e-18	4.05130143254e-18
4431.49941402	8.486723343176669e-18	8.486723343176669e-18	4.100036759394999e-18
4431.69939762	5.771993299427411e-18	5.771993299427411e-18	4.107768947882e-18
4431.89938123	8.814682782018649e-18	8.814682782018649e-18	4.29606913717e-18
4432.09936483	7.301411774924702e-18	7.301411774924702e-18	4.236697833706e-18
4432.29934843	7.042698777553148e-18	7.042698777553148e-18	4.274721125106001e-18
4432.49933204	8.721010951139824e-18	8.721010951139824e-18	4.254852056e-18
4432.69931564	8.239114424795198e-18	8.239114424795198e-18	4.288379741348e-18
4432.89929924	7.155549921865687e-18	7.155549921865687e-18	4.269914708092e-18
4433.09928285	6.541909915427391e-18	6.541909915427391e-18	4.236555823450001e-18
4433.29926645	9.014620999473473e-18	9.014620999473473e-18	4.310130311816001e-18
4433.49925005	1.076908682774386e-17	1.076908682774386e-17	4.324838236270001e-18
4433.69923366	6.294812792180068e-18	6.294812792180068e-18	4.137232472766001e-18
4433.89921726	5.939228639270805e-18	5.939228639270805e-18	4.130084484405e-18
4434.09920086	7.3809536569841e-18	7.3809536569841e-18	4.172978503658998e-18
4434.29918446	7.77300360268781e-18	7.77300360268781e-18	4.206984817943999e-18
4434.49916807	9.187730981189055e-18	9.187730981189055e-18	4.200911354313e-18
